ID,DOI,Link,Creative Commons,"Retracted/Corrected (as of July 21, 2021)","Retraction/Correction DOI (as of July 21, 2021)",Retraction/Correction Reason,"False Alarm Test (as of July 21, 2021)",Content Extraction Annotation,Image Ranking Annotation,Panel Segmentation Annotation,Copy-Move Detection Annotation,Provenance Analysis Annotation
1,10.22074/cellj.2016.4875,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5241511,Yes,No,-,-,Yes,No,No,No,No,No
2,10.1371/journal.pbio.1000137,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1000137,Yes,No,-,-,Yes,No,No,No,No,No
3,10.1038/srep45032,https://www.nature.com/articles/srep45032,Yes,No,-,-,Yes,No,No,No,No,No
4,10.1186/s13075-015-0824-x,https://arthritis-research.biomedcentral.com/articles/10.1186/s13075-015-0824-x,Yes,No,-,-,Yes,No,No,No,No,No
5,10.1194/jlr.M057547,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617394,Yes,No,-,-,Yes,No,No,No,No,No
6,10.1111/jne.12363,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5021139,Yes,No,-,-,Yes,No,No,No,No,No
7,10.1371/journal.pone.0121155,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0121155,Yes,No,-,-,Yes,No,No,No,No,No
8,10.1084/jem.20042057,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2213158,Yes,No,-,-,Yes,No,No,No,No,No
9,10.1089/scd.2015.0262,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4692127,Yes,No,-,-,Yes,No,No,No,No,No
10,10.1186/1471-2121-10-9,https://bmcmolcellbiol.biomedcentral.com/articles/10.1186/1471-2121-10-9,Yes,No,-,-,Yes,No,No,No,No,No
11,10.1371/journal.pone.0037208,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0037208,Yes,No,-,-,Yes,No,No,No,No,No
12,10.18632/oncotarget.6428,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4823076,Yes,No,-,-,Yes,No,No,No,No,No
13,10.1371/journal.pone.0132683,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0132683,Yes,No,-,-,Yes,No,No,No,No,No
14,10.1038/srep37474,https://www.nature.com/articles/srep37474,Yes,No,-,-,Yes,No,No,No,No,No
15,10.1038/srep30245,https://www.nature.com/articles/srep30245,Yes,No,-,-,Yes,No,No,No,No,No
16,10.1038/srep18017,https://www.nature.com/articles/srep18017,Yes,No,-,-,Yes,No,No,No,No,No
17,10.1371/journal.pone.0122519,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122519,Yes,No,-,-,Yes,No,No,No,No,No
18,10.1002/hep.28398,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5066671,Yes,No,-,-,Yes,No,No,No,No,No
19,10.1091/mbc.E11-03-0216,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3216650,Yes,No,-,-,Yes,No,No,No,No,No
20,10.3892/mmr.2016.5038,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4838071,Yes,No,-,-,Yes,No,No,No,No,No
21,10.1111/pbi.12595,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5253473,Yes,No,-,-,Yes,No,No,No,No,No
22,10.1371/journal.pone.0080631,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0080631,Yes,No,-,-,Yes,No,No,No,No,No
23,10.1186/1472-6750-10-54,https://bmcbiotechnol.biomedcentral.com/articles/10.1186/1472-6750-10-54,Yes,No,-,-,Yes,No,No,No,No,No
24,10.1371/journal.pone.0054055,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0054055,Yes,No,-,-,Yes,No,No,No,No,No
25,10.1155/2016/7570406,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5056280,Yes,No,-,-,Yes,No,No,No,No,No
26,10.1371/journal.pone.0115093,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0115093,Yes,No,-,-,Yes,No,No,No,No,No
27,10.1371/journal.pone.0049705,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0049705,Yes,No,-,-,Yes,No,No,No,No,No
28,10.1155/2015/645603,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4388018,Yes,No,-,-,Yes,No,No,No,No,No
29,10.1186/s13287-016-0361-9,https://stemcellres.biomedcentral.com/articles/10.1186/s13287-016-0361-9,Yes,No,-,-,Yes,No,No,No,No,No
